"Variables ->","obs_l_gdp","obs_dl_cpi","obs_rs","obs_dl_cpi_targ","obs_rrs_ex"
"Comments ->","Real Gross Domestic Product","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","3-Month Treasury Bill Secondary Market Rate","",""
"Class[Size] ->","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]"
"1956Q1",7.97441446e+02,NaN,2.32666667e+00,NaN,NaN
"1956Q2",7.98264370e+02,NaN,2.56666667e+00,NaN,NaN
"1956Q3",7.98174490e+02,NaN,2.58333333e+00,NaN,NaN
"1956Q4",7.99806957e+02,NaN,3.03333333e+00,NaN,NaN
"1957Q1",8.00445207e+02,NaN,3.09666667e+00,NaN,NaN
"1957Q2",8.00225880e+02,2.79721420e+00,3.14000000e+00,NaN,2.99452470e-01
"1957Q3",8.01201128e+02,5.07796779e+00,3.35333333e+00,NaN,-1.93796779e+00
"1957Q4",8.00161462e+02,1.83066681e+00,3.31000000e+00,NaN,1.52266652e+00
"1958Q1",7.97531746e+02,4.54034387e+00,1.75666667e+00,NaN,-1.23034387e+00
"1958Q2",7.98186823e+02,2.25099075e+00,9.56666667e-01,NaN,-4.94324080e-01
"1958Q3",8.00473691e+02,0.00000000e+00,1.68000000e+00,NaN,9.56666667e-01
"1958Q4",8.02784885e+02,8.96861362e-01,2.69000000e+00,NaN,7.83138638e-01
"1959Q1",8.04686247e+02,0.00000000e+00,2.77333333e+00,NaN,2.69000000e+00
"1959Q2",8.06916363e+02,8.94854959e-01,3.00000000e+00,NaN,1.87847837e+00
"1959Q3",8.06986899e+02,2.67261573e+00,3.54000000e+00,NaN,3.27384267e-01
"1959Q4",8.07271383e+02,2.21361937e+00,4.23000000e+00,NaN,1.32638063e+00
"1960Q1",8.09494208e+02,4.41257629e-01,3.87333333e+00,NaN,3.78874237e+00
"1960Q2",8.08953677e+02,2.19901598e+00,2.99333333e+00,NaN,1.67431735e+00
"1960Q3",8.09441904e+02,0.00000000e+00,2.36000000e+00,NaN,2.99333333e+00
"1960Q4",8.08150194e+02,2.62296022e+00,2.30666667e+00,NaN,-2.62960218e-01
"1961Q1",8.08822831e+02,4.35492694e-01,2.35000000e+00,NaN,1.87117397e+00
"1961Q2",8.10506020e+02,4.35019075e-01,2.30333333e+00,NaN,1.91498093e+00
"1961Q3",8.12407416e+02,1.30222578e+00,2.30333333e+00,NaN,1.00110755e+00
"1961Q4",8.14349532e+02,4.33134856e-01,2.46000000e+00,NaN,1.87019848e+00
"1962Q1",8.16117460e+02,2.15866687e+00,2.72333333e+00,NaN,3.01333131e-01
"1962Q2",8.17017066e+02,1.71858481e+00,2.71666667e+00,NaN,1.00474852e+00
"1962Q3",8.18238094e+02,1.28411025e+00,2.84000000e+00,NaN,1.43255641e+00
"1962Q4",8.18566456e+02,8.53789011e-01,2.81333333e+00,NaN,1.98621099e+00
"1963Q1",8.19652115e+02,8.51970503e-01,2.90666667e+00,NaN,1.96136283e+00
"1963Q2",8.20767988e+02,1.27456295e+00,2.94000000e+00,NaN,1.63210372e+00
"1963Q3",8.22942605e+02,2.11528785e+00,3.29333333e+00,NaN,8.24712151e-01
"1963Q4",8.23596068e+02,1.68421301e+00,3.49666667e+00,NaN,1.60912032e+00
"1964Q1",8.25682404e+02,1.67715130e+00,3.53000000e+00,NaN,1.81951536e+00
"1964Q2",8.26765253e+02,4.18191361e-01,3.47666667e+00,NaN,3.11180864e+00
"1964Q3",8.28315476e+02,8.35073372e-01,3.49666667e+00,NaN,2.64159329e+00
"1964Q4",8.28623871e+02,2.49481058e+00,3.68333333e+00,NaN,1.00185608e+00
"1965Q1",8.31014811e+02,8.28157646e-01,3.89000000e+00,NaN,2.85517569e+00
"1965Q2",8.32270196e+02,2.47423469e+00,3.87333333e+00,NaN,1.41576531e+00
"1965Q3",8.34469095e+02,1.23140169e+00,3.86666667e+00,NaN,2.64193164e+00
"1965Q4",8.36746993e+02,2.04394926e+00,4.16666667e+00,NaN,1.82271741e+00
"1966Q1",8.39152067e+02,3.65299343e+00,4.61000000e+00,NaN,5.13673241e-01
"1966Q2",8.39493086e+02,4.41993447e+00,4.58666667e+00,NaN,1.90065525e-01
"1966Q3",8.40336425e+02,3.58033221e+00,5.04333333e+00,NaN,1.00633446e+00
"1966Q4",8.41153485e+02,2.76271449e+00,5.21000000e+00,NaN,2.28061885e+00
"1967Q1",8.42035140e+02,1.57016885e+00,4.51333333e+00,NaN,3.63983115e+00
"1967Q2",8.42096419e+02,2.34375671e+00,3.66000000e+00,NaN,2.16957663e+00
"1967Q3",8.43038092e+02,3.87599932e+00,4.30000000e+00,NaN,-2.15999320e-01
"1967Q4",8.43789281e+02,3.83880106e+00,4.75333333e+00,NaN,4.61198944e-01
"1968Q1",8.45808269e+02,4.93599049e+00,5.05000000e+00,NaN,-1.82657161e-01
"1968Q2",8.47465264e+02,4.12955334e+00,5.52000000e+00,NaN,9.20446663e-01
"1968Q3",8.48237232e+02,4.82604462e+00,5.19666667e+00,NaN,6.93955379e-01
"1968Q4",8.48629781e+02,5.13297603e+00,5.58666667e+00,NaN,6.36906387e-02
"1969Q1",8.50182775e+02,5.06794110e+00,6.09333333e+00,NaN,5.18725570e-01
"1969Q2",8.50486309e+02,6.77680052e+00,6.19666667e+00,NaN,-6.83467189e-01
"1969Q3",8.51144651e+02,5.61905641e+00,7.02333333e+00,NaN,5.77610261e-01
"1969Q4",8.50655763e+02,6.22849955e+00,7.35333333e+00,NaN,7.94833785e-01
"1970Q1",8.50507182e+02,6.80867503e+00,7.21000000e+00,NaN,5.44658306e-01
"1970Q2",8.50649012e+02,5.69762461e+00,6.67666667e+00,NaN,1.51237539e+00
